"year","enprim","cumulative_energy_consumption"
"2015","1585","1533169"
"2015","766583","1533169"
"2015","11932","1533169"
"2015","10367","1533169"
"2015","11986","1533169"
"2015","4393","1533169"
"2015","121","1533169"
"2015","28756","1533169"
"2015","15709","1533169"
"2015","5554","1533169"
"2015","17538","1533169"
"2015","136699","1533169"
"2015","8473","1533169"
"2015","33441","1533169"
"2015","47593","1533169"
"2015","1912","1533169"
"2015","147","1533169"
"2015","2338","1533169"
"2015","15","1533169"
"2015","119770","1533169"
"2015","67347","1533169"
"2015","5304","1533169"
"2015","26656","1533169"
"2015","6320","1533169"
"2015","3391","1533169"
"2015","33643","1533169"
"2015","11188","1533169"
"2015","118274","1533169"
"2015","36134","1533169"
"2016","12349","3043951"
"2016","33798","3043951"
"2016","119605","3043951"
"2016","11356","3043951"
"2016","34565","3043951"
"2016","3570","3043951"
"2016","6198","3043951"
"2016","25044","3043951"
"2016","5998","3043951"
"2016","66415","3043951"
"2016","115650","3043951"
"2016","18","3043951"
"2016","2447","3043951"
"2016","159","3043951"
"2016","1620","3043951"
"2016","4201","3043951"
"2016","46059","3043951"
"2016","33970","3043951"
"2016","6723","3043951"
"2016","130575","3043951"
"2016","17563","3043951"
"2016","4677","3043951"
"2016","14949","3043951"
"2016","27159","3043951"
"2016","129","3043951"
"2016","4409","3043951"
"2016","11218","3043951"
"2016","14969","3043951"
"2016","755389","3043951"
"2017","12335","4560369"
"2017","758209","4560369"
"2017","14864","4560369"
"2017","11674","4560369"
"2017","4209","4560369"
"2017","132","4560369"
"2017","27331","4560369"
"2017","15856","4560369"
"2017","5792","4560369"
"2017","18067","4560369"
"2017","132151","4560369"
"2017","7501","4560369"
"2017","34227","4560369"
"2017","41712","4560369"
"2017","4861","4560369"
"2017","1754","4560369"
"2017","192","4560369"
"2017","2587","4560369"
"2017","30","4560369"
"2017","115788","4560369"
"2017","64028","4560369"
"2017","5225","4560369"
"2017","25475","4560369"
"2017","6370","4560369"
"2017","3515","4560369"
"2017","36590","4560369"
"2017","11147","4560369"
"2017","118130","4560369"
"2017","36666","4560369"
"2018","11994","6072407"
"2018","11803","6072407"
"2018","11957","6072407"
"2018","4195","6072407"
"2018","197","6072407"
"2018","27346","6072407"
"2018","14023","6072407"
"2018","6605","6072407"
"2018","19698","6072407"
"2018","137928","6072407"
"2018","7535","6072407"
"2018","34640","6072407"
"2018","36588","6072407"
"2018","5035","6072407"
"2018","2019","6072407"
"2018","214","6072407"
"2018","2861","6072407"
"2018","34","6072407"
"2018","112856","6072407"
"2018","61420","6072407"
"2018","6530","6072407"
"2018","25059","6072407"
"2018","6000","6072407"
"2018","3402","6072407"
"2018","36607","6072407"
"2018","10865","6072407"
"2018","121267","6072407"
"2018","37342","6072407"
"2018","756018","6072407"
"2019","37342","7584445"
"2019","756018","7584445"
"2019","11994","7584445"
"2019","11803","7584445"
"2019","11957","7584445"
"2019","4195","7584445"
"2019","197","7584445"
"2019","27346","7584445"
"2019","14023","7584445"
"2019","6605","7584445"
"2019","19698","7584445"
"2019","137928","7584445"
"2019","7535","7584445"
"2019","34640","7584445"
"2019","36588","7584445"
"2019","5035","7584445"
"2019","2019","7584445"
"2019","214","7584445"
"2019","2861","7584445"
"2019","34","7584445"
"2019","112856","7584445"
"2019","61420","7584445"
"2019","6530","7584445"
"2019","25059","7584445"
"2019","6000","7584445"
"2019","3402","7584445"
"2019","36607","7584445"
"2019","10865","7584445"
"2019","121267","7584445"
"2021","36676","8779637"
"2021","10652","8779637"
"2021","35703","8779637"
"2021","3282","8779637"
"2021","6952","8779637"
"2021","22972","8779637"
"2021","6952","8779637"
"2021","60107","8779637"
"2021","102964","8779637"
"2021","45","8779637"
"2021","2712","8779637"
"2021","313","8779637"
"2021","2236","8779637"
"2021","3033","8779637"
"2021","26615","8779637"
"2021","36272","8779637"
"2021","5193","8779637"
"2021","130808","8779637"
"2021","19501","8779637"
"2021","4407","8779637"
"2021","9572","8779637"
"2021","24376","8779637"
"2021","238","8779637"
"2021","3955","8779637"
"2021","12128","8779637"
"2021","17370","8779637"
"2021","12562","8779637"
"2021","597596","8779637"
